Komoditi,Tanggal,Harga,Musim
Bayam,1/1/2013,1500,Hujan
Bayam,8/1/2013,1500,Hujan
Bayam,15/1/2013,1500,Hujan
Bayam,22/1/2013,1500,Hujan
Bayam,29/1/2013,1500,Hujan
Bayam,5/2/2013,1500,Hujan
Bayam,12/2/2013,1500,Hujan
Bayam,19/2/2013,1500,Hujan
Bayam,26/2/2013,1500,Hujan
Bayam,5/3/2013,1500,Hujan
Bayam,12/3/2013,1500,Hujan
Bayam,19/3/2013,1500,Hujan
Bayam,26/3/2013,1500,Hujan
Bayam,2/4/2013,1500,Kemarau
Bayam,9/4/2013,1500,Kemarau
Bayam,16/4/2013,1500,Kemarau
Bayam,23/4/2013,1500,Kemarau
Bayam,30/4/2013,1500,Kemarau
Bayam,7/5/2013,4500,Kemarau
Bayam,14/5/2013,4500,Kemarau
Bayam,21/5/2013,4500,Kemarau
Bayam,28/5/2013,4500,Kemarau
Bayam,4/6/2013,4500,Kemarau
Bayam,11/6/2013,4500,Kemarau
Bayam,18/6/2013,4500,Kemarau
Bayam,25/6/2013,4500,Kemarau
Bayam,2/7/2013,4500,Kemarau
Bayam,9/7/2013,4500,Kemarau
Bayam,16/7/2013,4500,Kemarau
Bayam,23/7/2013,4500,Kemarau
Bayam,30/7/2013,4500,Kemarau
Bayam,6/8/2013,4500,Kemarau
Bayam,13/8/2013,4500,Kemarau
Bayam,20/8/2013,4500,Kemarau
Bayam,27/8/2013,4500,Kemarau
Bayam,3/9/2013,4500,Kemarau
Bayam,10/9/2013,4500,Kemarau
Bayam,17/9/2013,4500,Kemarau
Bayam,24/9/2013,4500,Kemarau
Bayam,1/10/2013,4000,Kemarau
Bayam,8/10/2013,4000,Kemarau
Bayam,15/10/2013,4000,Kemarau
Bayam,22/10/2013,4000,Kemarau
Bayam,29/10/2013,4000,Kemarau
Bayam,5/11/2013,4000,Hujan
Bayam,12/11/2013,4000,Hujan
Bayam,19/11/2013,4000,Hujan
Bayam,26/11/2013,4000,Hujan
Bayam,3/12/2013,4000,Hujan
Bayam,10/12/2013,4000,Hujan
Bayam,17/12/2013,4000,Hujan
Bayam,24/12/2013,4000,Hujan
Bayam,31/12/2013,4000,Hujan
Bayam,7/1/2014,2500,Hujan
Bayam,14/1/2014,2500,Hujan
Bayam,21/1/2014,2500,Hujan
Bayam,28/1/2014,2500,Hujan
Bayam,4/2/2014,2500,Hujan
Bayam,11/2/2014,2500,Hujan
Bayam,18/2/2014,2500,Hujan
Bayam,25/2/2014,2500,Hujan
Bayam,4/3/2014,2500,Kemarau
Bayam,11/3/2014,2500,Kemarau
Bayam,18/3/2014,2500,Kemarau
Bayam,25/3/2014,2500,Kemarau
Bayam,1/4/2014,4500,Kemarau
Bayam,8/4/2014,4500,Kemarau
Bayam,15/4/2014,4500,Kemarau
Bayam,22/4/2014,4500,Kemarau
Bayam,29/4/2014,4500,Kemarau
Bayam,6/5/2014,4500,Kemarau
Bayam,13/5/2014,4500,Kemarau
Bayam,20/5/2014,4500,Kemarau
Bayam,27/5/2014,4500,Kemarau
Bayam,3/6/2014,4500,Kemarau
Bayam,10/6/2014,4500,Kemarau
Bayam,17/6/2014,4500,Kemarau
Bayam,24/6/2014,4500,Kemarau
Bayam,1/7/2014,4500,Kemarau
Bayam,8/7/2014,4500,Kemarau
Bayam,15/7/2014,4500,Kemarau
Bayam,22/7/2014,4500,Kemarau
Bayam,29/7/2014,4500,Kemarau
Bayam,5/8/2014,4500,Hujan
Bayam,12/8/2014,4500,Hujan
Bayam,19/8/2014,4500,Hujan
Bayam,26/8/2014,4500,Hujan
Bayam,2/9/2014,4500,Hujan
Bayam,9/9/2014,4500,Hujan
Bayam,16/9/2014,4500,Hujan
Bayam,23/9/2014,4500,Hujan
Bayam,30/9/2014,4500,Hujan
Bayam,7/10/2014,4500,Hujan
Bayam,14/10/2014,4500,Hujan
Bayam,21/10/2014,4500,Hujan
Bayam,28/10/2014,4500,Hujan
Bayam,4/11/2014,4500,Hujan
Bayam,11/11/2014,4500,Hujan
Bayam,18/11/2014,4500,Hujan
Bayam,25/11/2014,4500,Hujan
Bayam,2/12/2014,3000,Hujan
Bayam,9/12/2014,3000,Hujan
Bayam,16/12/2014,3000,Hujan
Bayam,23/12/2014,3000,Hujan
Bayam,30/12/2014,3000,Hujan
Bayam,6/1/2015,2000,Hujan
